controller,condition,scenario,iae,ise,steady_state_error,control_energy,rise_time,settling_time,overshoot_pct,saturation_fraction
TD3_loaded,ra_plus_50,step_load_disturbance,22.39953645214272,1480.2668316223253,7.3407989528566535,211.74638524255602,0.39099999999997326,0.49999999999996125,9.108774776458873,0.392
TD3_loaded,ra_plus_50,ramp,2.3386114824310376,16.611391165877595,10.632177080933431,180.40724195429758,0.4069999999999715,0.49999999999996125,11.303063550894231,0.002
TD3_loaded,ra_plus_50,sine,25.976361263099633,2164.387889902032,3.2104330223844806,162.93728060686036,,0.49999999999996125,-13.43482966705936,0.122
TD3_loaded,j_plus_50,step_nominal,23.338079665636215,1492.7437056459082,4.115870633311085,147.5598526855002,0.4459999999999672,0.4859999999999628,0.6450482873719068,0.0
TD3_loaded,j_plus_50,step_load_disturbance,22.131274264804663,1447.3116343635575,8.016057125667233,207.76392178143948,0.3879999999999736,0.49999999999996125,10.262465978237586,0.3
TD3_loaded,j_plus_50,ramp,1.47705356892279,5.738903571182847,5.960697500267728,164.27283348437405,0.4259999999999694,0.49999999999996125,6.41569084747934,0.002
TD3_loaded,j_plus_50,sine,24.84525033963355,2106.283381754731,0.23424415649786398,147.60811191512857,,0.3769999999999748,-16.817458375489213,0.028
TD3_loaded,friction,step_nominal,14.584224337557089,907.4617389661682,7.74802086304211,129.64175777939954,0.26199999999998747,0.49999999999996125,8.783635380053013,0.106
TD3_loaded,friction,step_load_disturbance,14.844279314368697,908.5967860992718,10.716106319464478,141.59139366070673,0.24499999999998934,0.49999999999996125,11.601210735540931,0.106
TD3_loaded,friction,ramp,6.359436956898409,136.1857097853298,29.217793291019863,127.73754552256187,0.3449999999999783,0.49999999999996125,30.98119076216494,0.002
TD3_loaded,friction,sine,19.433818175429376,1395.5915013368488,12.511670659789797,147.08447101514986,0.47999999999996346,0.49999999999996125,-3.24351360928721,0.086
TD3_loaded,saturation,step_nominal,29.93113171631016,2051.2377555270778,24.410258534177096,142.4007366117445,,0.49999999999996125,-20.50246780183481,0.004
TD3_loaded,saturation,step_load_disturbance,31.05855447751021,2140.3403817658436,30.755061654298075,166.94817352487937,,0.49999999999996125,-27.5395939792997,0.004
TD3_loaded,saturation,ramp,5.049926679576266,63.06165201429488,17.55608722949195,158.60840961753058,,0.49999999999996125,-18.39100024588223,0.002
TD3_loaded,saturation,sine,31.317731668990586,2562.5231311359844,22.111109169952236,124.96204315593475,,0.49999999999996125,-36.895689000116214,0.0
TD3_loaded,combined_stress,step_nominal,35.01779779953271,2617.703487206209,40.27222964027745,141.18501627515283,,0.49999999999996125,-36.90535929140522,0.0
TD3_loaded,combined_stress,step_load_disturbance,36.71569185798598,2801.4289283238527,51.15223065533446,128.52813417357564,,0.49999999999996125,-48.85207930316956,0.0
TD3_loaded,combined_stress,ramp,26.774364435878972,1906.7350188420714,88.95585492983192,116.65153176747786,,0.49999999999996125,-83.77947963289583,0.018
TD3_loaded,combined_stress,sine,36.32708570674791,3039.83330944477,40.65009532801594,106.74479077247982,,0.49999999999996125,-52.78529239944826,0.0
